Date,Open,High,Low,Close,Adj Close,Volume
2018-09-21,118.980003,120.040001,118.500000,119.559998,112.395126,179800
2018-09-24,118.620003,118.620003,117.610001,117.639999,111.460907,116400
2018-09-25,117.410004,117.410004,115.980003,116.300003,110.191299,196300
2018-09-26,116.599998,116.599998,115.000000,115.129997,109.082748,196700
2018-09-27,115.349998,116.779999,115.139999,116.260002,110.153404,141800
2018-09-28,116.570000,117.949997,116.570000,117.870003,111.678841,253600
2018-10-01,117.660004,117.660004,117.120003,117.500000,111.328270,182700
2018-10-02,117.730003,119.160004,117.730003,118.879997,112.635788,98200
2018-10-03,118.750000,119.349998,116.720001,117.540001,111.366173,131500
2018-10-04,117.379997,118.320000,116.500000,118.080002,111.877815,112000
2018-10-05,117.989998,120.139999,117.989998,119.809998,113.516930,182400
2018-10-08,120.099998,121.540001,119.760002,120.839996,114.492828,288900
